12:22:50,735 INFO SeBS-06a7: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/501.graph-pagerank
12:22:51,100 INFO OpenWhisk.Resources-0e1a: Using user-provided configuration of storage for OpenWhisk.
12:22:51,100 INFO OpenWhisk-63c3: Using existing resource name: 8504288e.
12:22:51,102 INFO Benchmark-4749: Building benchmark 501.graph-pagerank. Reason: no cached code package.
12:29:09,43 INFO Experiment.PerfCost-4939: Processed 360 samples out of 10000, 0 errors
12:29:19,134 INFO Experiment.PerfCost-4939: Processed 370 samples out of 10000, 0 errors
12:29:29,229 INFO Experiment.PerfCost-4939: Processed 380 samples out of 10000, 0 errors
12:29:39,313 INFO Experiment.PerfCost-4939: Processed 390 samples out of 10000, 0 errors
12:29:49,413 INFO Experiment.PerfCost-4939: Processed 400 samples out of 10000, 0 errors
12:29:59,516 INFO Experiment.PerfCost-4939: Processed 410 samples out of 10000, 0 errors
12:30:09,622 INFO Experiment.PerfCost-4939: Processed 420 samples out of 10000, 0 errors
12:30:19,705 INFO Experiment.PerfCost-4939: Processed 430 samples out of 10000, 0 errors
12:30:29,799 INFO Experiment.PerfCost-4939: Processed 440 samples out of 10000, 0 errors
12:30:39,889 INFO Experiment.PerfCost-4939: Processed 450 samples out of 10000, 0 errors
12:30:49,987 INFO Experiment.PerfCost-4939: Processed 460 samples out of 10000, 0 errors
12:31:00,82 INFO Experiment.PerfCost-4939: Processed 470 samples out of 10000, 0 errors
12:31:10,174 INFO Experiment.PerfCost-4939: Processed 480 samples out of 10000, 0 errors
12:31:20,269 INFO Experiment.PerfCost-4939: Processed 490 samples out of 10000, 0 errors
12:31:30,355 INFO Experiment.PerfCost-4939: Processed 500 samples out of 10000, 0 errors
12:31:40,459 INFO Experiment.PerfCost-4939: Processed 510 samples out of 10000, 0 errors
12:31:50,557 INFO Experiment.PerfCost-4939: Processed 520 samples out of 10000, 0 errors
12:32:00,650 INFO Experiment.PerfCost-4939: Processed 530 samples out of 10000, 0 errors
12:32:10,731 INFO Experiment.PerfCost-4939: Processed 540 samples out of 10000, 0 errors
12:32:20,814 INFO Experiment.PerfCost-4939: Processed 550 samples out of 10000, 0 errors
12:32:30,908 INFO Experiment.PerfCost-4939: Processed 560 samples out of 10000, 0 errors
12:32:41,3 INFO Experiment.PerfCost-4939: Processed 570 samples out of 10000, 0 errors
12:32:51,90 INFO Experiment.PerfCost-4939: Processed 580 samples out of 10000, 0 errors
12:33:01,185 INFO Experiment.PerfCost-4939: Processed 590 samples out of 10000, 0 errors
12:33:11,322 INFO Experiment.PerfCost-4939: Processed 600 samples out of 10000, 0 errors
12:33:21,416 INFO Experiment.PerfCost-4939: Processed 610 samples out of 10000, 0 errors
12:33:31,511 INFO Experiment.PerfCost-4939: Processed 620 samples out of 10000, 0 errors
12:33:41,607 INFO Experiment.PerfCost-4939: Processed 630 samples out of 10000, 0 errors
12:33:51,720 INFO Experiment.PerfCost-4939: Processed 640 samples out of 10000, 0 errors
12:34:01,836 INFO Experiment.PerfCost-4939: Processed 650 samples out of 10000, 0 errors
12:34:11,934 INFO Experiment.PerfCost-4939: Processed 660 samples out of 10000, 0 errors
12:34:22,28 INFO Experiment.PerfCost-4939: Processed 670 samples out of 10000, 0 errors
12:34:32,121 INFO Experiment.PerfCost-4939: Processed 680 samples out of 10000, 0 errors
12:34:42,221 INFO Experiment.PerfCost-4939: Processed 690 samples out of 10000, 0 errors
12:34:52,321 INFO Experiment.PerfCost-4939: Processed 700 samples out of 10000, 0 errors
12:35:02,408 INFO Experiment.PerfCost-4939: Processed 710 samples out of 10000, 0 errors
12:35:12,508 INFO Experiment.PerfCost-4939: Processed 720 samples out of 10000, 0 errors
12:35:22,605 INFO Experiment.PerfCost-4939: Processed 730 samples out of 10000, 0 errors
12:35:32,699 INFO Experiment.PerfCost-4939: Processed 740 samples out of 10000, 0 errors
12:35:42,787 INFO Experiment.PerfCost-4939: Processed 750 samples out of 10000, 0 errors
12:35:52,883 INFO Experiment.PerfCost-4939: Processed 760 samples out of 10000, 0 errors
12:36:02,990 INFO Experiment.PerfCost-4939: Processed 770 samples out of 10000, 0 errors
12:36:13,85 INFO Experiment.PerfCost-4939: Processed 780 samples out of 10000, 0 errors
12:36:23,195 INFO Experiment.PerfCost-4939: Processed 790 samples out of 10000, 0 errors
12:36:33,292 INFO Experiment.PerfCost-4939: Processed 800 samples out of 10000, 0 errors
12:36:43,386 INFO Experiment.PerfCost-4939: Processed 810 samples out of 10000, 0 errors
12:36:53,490 INFO Experiment.PerfCost-4939: Processed 820 samples out of 10000, 0 errors
12:37:03,594 INFO Experiment.PerfCost-4939: Processed 830 samples out of 10000, 0 errors
12:37:13,684 INFO Experiment.PerfCost-4939: Processed 840 samples out of 10000, 0 errors
12:37:23,795 INFO Experiment.PerfCost-4939: Processed 850 samples out of 10000, 0 errors
12:37:33,897 INFO Experiment.PerfCost-4939: Processed 860 samples out of 10000, 0 errors
12:37:44,0 INFO Experiment.PerfCost-4939: Processed 870 samples out of 10000, 0 errors
12:37:54,94 INFO Experiment.PerfCost-4939: Processed 880 samples out of 10000, 0 errors
12:38:04,184 INFO Experiment.PerfCost-4939: Processed 890 samples out of 10000, 0 errors
12:38:14,322 INFO Experiment.PerfCost-4939: Processed 900 samples out of 10000, 0 errors
12:38:24,410 INFO Experiment.PerfCost-4939: Processed 910 samples out of 10000, 0 errors
12:38:34,500 INFO Experiment.PerfCost-4939: Processed 920 samples out of 10000, 0 errors
12:38:44,603 INFO Experiment.PerfCost-4939: Processed 930 samples out of 10000, 0 errors
12:38:54,703 INFO Experiment.PerfCost-4939: Processed 940 samples out of 10000, 0 errors
12:39:04,805 INFO Experiment.PerfCost-4939: Processed 950 samples out of 10000, 0 errors
12:39:14,907 INFO Experiment.PerfCost-4939: Processed 960 samples out of 10000, 0 errors
12:39:25,4 INFO Experiment.PerfCost-4939: Processed 970 samples out of 10000, 0 errors
12:39:35,97 INFO Experiment.PerfCost-4939: Processed 980 samples out of 10000, 0 errors
12:39:45,196 INFO Experiment.PerfCost-4939: Processed 990 samples out of 10000, 0 errors
12:39:55,286 INFO Experiment.PerfCost-4939: Processed 1000 samples out of 10000, 0 errors
12:40:05,378 INFO Experiment.PerfCost-4939: Processed 1010 samples out of 10000, 0 errors
12:40:15,519 INFO Experiment.PerfCost-4939: Processed 1020 samples out of 10000, 0 errors
12:40:25,613 INFO Experiment.PerfCost-4939: Processed 1030 samples out of 10000, 0 errors
12:40:35,715 INFO Experiment.PerfCost-4939: Processed 1040 samples out of 10000, 0 errors
12:40:45,811 INFO Experiment.PerfCost-4939: Processed 1050 samples out of 10000, 0 errors
12:40:55,907 INFO Experiment.PerfCost-4939: Processed 1060 samples out of 10000, 0 errors
12:41:06,0 INFO Experiment.PerfCost-4939: Processed 1070 samples out of 10000, 0 errors
12:41:16,95 INFO Experiment.PerfCost-4939: Processed 1080 samples out of 10000, 0 errors
12:41:26,194 INFO Experiment.PerfCost-4939: Processed 1090 samples out of 10000, 0 errors
12:41:36,288 INFO Experiment.PerfCost-4939: Processed 1100 samples out of 10000, 0 errors
12:41:46,390 INFO Experiment.PerfCost-4939: Processed 1110 samples out of 10000, 0 errors
12:41:56,487 INFO Experiment.PerfCost-4939: Processed 1120 samples out of 10000, 0 errors
12:42:06,598 INFO Experiment.PerfCost-4939: Processed 1130 samples out of 10000, 0 errors
12:42:16,685 INFO Experiment.PerfCost-4939: Processed 1140 samples out of 10000, 0 errors
12:42:26,788 INFO Experiment.PerfCost-4939: Processed 1150 samples out of 10000, 0 errors
12:42:36,873 INFO Experiment.PerfCost-4939: Processed 1160 samples out of 10000, 0 errors
12:42:46,970 INFO Experiment.PerfCost-4939: Processed 1170 samples out of 10000, 0 errors
12:42:57,73 INFO Experiment.PerfCost-4939: Processed 1180 samples out of 10000, 0 errors
12:43:07,172 INFO Experiment.PerfCost-4939: Processed 1190 samples out of 10000, 0 errors
12:43:17,321 INFO Experiment.PerfCost-4939: Processed 1200 samples out of 10000, 0 errors
12:43:27,419 INFO Experiment.PerfCost-4939: Processed 1210 samples out of 10000, 0 errors
12:43:37,512 INFO Experiment.PerfCost-4939: Processed 1220 samples out of 10000, 0 errors
12:43:47,613 INFO Experiment.PerfCost-4939: Processed 1230 samples out of 10000, 0 errors
12:43:57,711 INFO Experiment.PerfCost-4939: Processed 1240 samples out of 10000, 0 errors
12:44:07,818 INFO Experiment.PerfCost-4939: Processed 1250 samples out of 10000, 0 errors
12:44:17,906 INFO Experiment.PerfCost-4939: Processed 1260 samples out of 10000, 0 errors
12:44:27,992 INFO Experiment.PerfCost-4939: Processed 1270 samples out of 10000, 0 errors
12:44:38,98 INFO Experiment.PerfCost-4939: Processed 1280 samples out of 10000, 0 errors
12:44:48,193 INFO Experiment.PerfCost-4939: Processed 1290 samples out of 10000, 0 errors
12:44:58,299 INFO Experiment.PerfCost-4939: Processed 1300 samples out of 10000, 0 errors
12:45:08,394 INFO Experiment.PerfCost-4939: Processed 1310 samples out of 10000, 0 errors
12:45:18,505 INFO Experiment.PerfCost-4939: Processed 1320 samples out of 10000, 0 errors
12:45:28,595 INFO Experiment.PerfCost-4939: Processed 1330 samples out of 10000, 0 errors
12:45:38,687 INFO Experiment.PerfCost-4939: Processed 1340 samples out of 10000, 0 errors
12:45:48,797 INFO Experiment.PerfCost-4939: Processed 1350 samples out of 10000, 0 errors
12:45:58,902 INFO Experiment.PerfCost-4939: Processed 1360 samples out of 10000, 0 errors
12:46:09,6 INFO Experiment.PerfCost-4939: Processed 1370 samples out of 10000, 0 errors
12:46:19,117 INFO Experiment.PerfCost-4939: Processed 1380 samples out of 10000, 0 errors
12:46:29,219 INFO Experiment.PerfCost-4939: Processed 1390 samples out of 10000, 0 errors
12:46:39,316 INFO Experiment.PerfCost-4939: Processed 1400 samples out of 10000, 0 errors
12:46:49,409 INFO Experiment.PerfCost-4939: Processed 1410 samples out of 10000, 0 errors
12:46:59,498 INFO Experiment.PerfCost-4939: Processed 1420 samples out of 10000, 0 errors
12:47:09,596 INFO Experiment.PerfCost-4939: Processed 1430 samples out of 10000, 0 errors
12:47:19,687 INFO Experiment.PerfCost-4939: Processed 1440 samples out of 10000, 0 errors
12:47:29,773 INFO Experiment.PerfCost-4939: Processed 1450 samples out of 10000, 0 errors
12:47:39,882 INFO Experiment.PerfCost-4939: Processed 1460 samples out of 10000, 0 errors
12:47:49,985 INFO Experiment.PerfCost-4939: Processed 1470 samples out of 10000, 0 errors
12:48:00,80 INFO Experiment.PerfCost-4939: Processed 1480 samples out of 10000, 0 errors
12:48:10,179 INFO Experiment.PerfCost-4939: Processed 1490 samples out of 10000, 0 errors
12:48:20,341 INFO Experiment.PerfCost-4939: Processed 1500 samples out of 10000, 0 errors
12:48:30,447 INFO Experiment.PerfCost-4939: Processed 1510 samples out of 10000, 0 errors
12:48:40,542 INFO Experiment.PerfCost-4939: Processed 1520 samples out of 10000, 0 errors
12:48:50,627 INFO Experiment.PerfCost-4939: Processed 1530 samples out of 10000, 0 errors
12:49:00,739 INFO Experiment.PerfCost-4939: Processed 1540 samples out of 10000, 0 errors
12:49:10,831 INFO Experiment.PerfCost-4939: Processed 1550 samples out of 10000, 0 errors
12:49:20,934 INFO Experiment.PerfCost-4939: Processed 1560 samples out of 10000, 0 errors
12:49:31,35 INFO Experiment.PerfCost-4939: Processed 1570 samples out of 10000, 0 errors
12:49:41,153 INFO Experiment.PerfCost-4939: Processed 1580 samples out of 10000, 0 errors
12:49:51,256 INFO Experiment.PerfCost-4939: Processed 1590 samples out of 10000, 0 errors
12:50:01,368 INFO Experiment.PerfCost-4939: Processed 1600 samples out of 10000, 0 errors
12:50:11,463 INFO Experiment.PerfCost-4939: Processed 1610 samples out of 10000, 0 errors
12:50:21,561 INFO Experiment.PerfCost-4939: Processed 1620 samples out of 10000, 0 errors
12:50:31,658 INFO Experiment.PerfCost-4939: Processed 1630 samples out of 10000, 0 errors
12:50:41,766 INFO Experiment.PerfCost-4939: Processed 1640 samples out of 10000, 0 errors
12:50:51,872 INFO Experiment.PerfCost-4939: Processed 1650 samples out of 10000, 0 errors
12:51:01,971 INFO Experiment.PerfCost-4939: Processed 1660 samples out of 10000, 0 errors
12:51:12,74 INFO Experiment.PerfCost-4939: Processed 1670 samples out of 10000, 0 errors
12:51:22,159 INFO Experiment.PerfCost-4939: Processed 1680 samples out of 10000, 0 errors
12:51:32,269 INFO Experiment.PerfCost-4939: Processed 1690 samples out of 10000, 0 errors
12:51:42,364 INFO Experiment.PerfCost-4939: Processed 1700 samples out of 10000, 0 errors
12:51:52,477 INFO Experiment.PerfCost-4939: Processed 1710 samples out of 10000, 0 errors
12:52:02,575 INFO Experiment.PerfCost-4939: Processed 1720 samples out of 10000, 0 errors
12:52:12,682 INFO Experiment.PerfCost-4939: Processed 1730 samples out of 10000, 0 errors
12:52:22,784 INFO Experiment.PerfCost-4939: Processed 1740 samples out of 10000, 0 errors
12:52:32,888 INFO Experiment.PerfCost-4939: Processed 1750 samples out of 10000, 0 errors
12:52:43,5 INFO Experiment.PerfCost-4939: Processed 1760 samples out of 10000, 0 errors
12:52:53,110 INFO Experiment.PerfCost-4939: Processed 1770 samples out of 10000, 0 errors
12:53:03,210 INFO Experiment.PerfCost-4939: Processed 1780 samples out of 10000, 0 errors
12:53:13,301 INFO Experiment.PerfCost-4939: Processed 1790 samples out of 10000, 0 errors
12:53:23,441 INFO Experiment.PerfCost-4939: Processed 1800 samples out of 10000, 0 errors
12:53:33,539 INFO Experiment.PerfCost-4939: Processed 1810 samples out of 10000, 0 errors
12:53:43,634 INFO Experiment.PerfCost-4939: Processed 1820 samples out of 10000, 0 errors
12:53:53,782 INFO Experiment.PerfCost-4939: Processed 1830 samples out of 10000, 0 errors
12:54:03,883 INFO Experiment.PerfCost-4939: Processed 1840 samples out of 10000, 0 errors
12:54:13,989 INFO Experiment.PerfCost-4939: Processed 1850 samples out of 10000, 0 errors
12:54:24,80 INFO Experiment.PerfCost-4939: Processed 1860 samples out of 10000, 0 errors
12:54:34,175 INFO Experiment.PerfCost-4939: Processed 1870 samples out of 10000, 0 errors
12:54:44,284 INFO Experiment.PerfCost-4939: Processed 1880 samples out of 10000, 0 errors
12:54:54,370 INFO Experiment.PerfCost-4939: Processed 1890 samples out of 10000, 0 errors
12:55:04,461 INFO Experiment.PerfCost-4939: Processed 1900 samples out of 10000, 0 errors
12:55:14,555 INFO Experiment.PerfCost-4939: Processed 1910 samples out of 10000, 0 errors
12:55:24,662 INFO Experiment.PerfCost-4939: Processed 1920 samples out of 10000, 0 errors
12:55:34,755 INFO Experiment.PerfCost-4939: Processed 1930 samples out of 10000, 0 errors
12:55:44,861 INFO Experiment.PerfCost-4939: Processed 1940 samples out of 10000, 0 errors
12:55:54,965 INFO Experiment.PerfCost-4939: Processed 1950 samples out of 10000, 0 errors
12:56:05,73 INFO Experiment.PerfCost-4939: Processed 1960 samples out of 10000, 0 errors
12:56:15,176 INFO Experiment.PerfCost-4939: Processed 1970 samples out of 10000, 0 errors
12:56:25,286 INFO Experiment.PerfCost-4939: Processed 1980 samples out of 10000, 0 errors
12:56:35,397 INFO Experiment.PerfCost-4939: Processed 1990 samples out of 10000, 0 errors
12:56:45,494 INFO Experiment.PerfCost-4939: Processed 2000 samples out of 10000, 0 errors
12:56:55,631 INFO Experiment.PerfCost-4939: Processed 2010 samples out of 10000, 0 errors
12:57:05,725 INFO Experiment.PerfCost-4939: Processed 2020 samples out of 10000, 0 errors
12:57:15,822 INFO Experiment.PerfCost-4939: Processed 2030 samples out of 10000, 0 errors
12:57:25,930 INFO Experiment.PerfCost-4939: Processed 2040 samples out of 10000, 0 errors
12:57:36,33 INFO Experiment.PerfCost-4939: Processed 2050 samples out of 10000, 0 errors
12:57:46,137 INFO Experiment.PerfCost-4939: Processed 2060 samples out of 10000, 0 errors
12:57:56,245 INFO Experiment.PerfCost-4939: Processed 2070 samples out of 10000, 0 errors
12:58:06,346 INFO Experiment.PerfCost-4939: Processed 2080 samples out of 10000, 0 errors
12:58:16,450 INFO Experiment.PerfCost-4939: Processed 2090 samples out of 10000, 0 errors
12:58:26,616 INFO Experiment.PerfCost-4939: Processed 2100 samples out of 10000, 0 errors
12:58:36,724 INFO Experiment.PerfCost-4939: Processed 2110 samples out of 10000, 0 errors
12:58:46,830 INFO Experiment.PerfCost-4939: Processed 2120 samples out of 10000, 0 errors
12:58:56,937 INFO Experiment.PerfCost-4939: Processed 2130 samples out of 10000, 0 errors
12:59:07,47 INFO Experiment.PerfCost-4939: Processed 2140 samples out of 10000, 0 errors
12:59:17,156 INFO Experiment.PerfCost-4939: Processed 2150 samples out of 10000, 0 errors
12:59:27,262 INFO Experiment.PerfCost-4939: Processed 2160 samples out of 10000, 0 errors
12:59:37,359 INFO Experiment.PerfCost-4939: Processed 2170 samples out of 10000, 0 errors
12:59:47,460 INFO Experiment.PerfCost-4939: Processed 2180 samples out of 10000, 0 errors
12:59:57,563 INFO Experiment.PerfCost-4939: Processed 2190 samples out of 10000, 0 errors
13:00:07,668 INFO Experiment.PerfCost-4939: Processed 2200 samples out of 10000, 0 errors
13:00:17,775 INFO Experiment.PerfCost-4939: Processed 2210 samples out of 10000, 0 errors
13:00:27,873 INFO Experiment.PerfCost-4939: Processed 2220 samples out of 10000, 0 errors
13:00:37,971 INFO Experiment.PerfCost-4939: Processed 2230 samples out of 10000, 0 errors
13:00:48,79 INFO Experiment.PerfCost-4939: Processed 2240 samples out of 10000, 0 errors
13:00:58,174 INFO Experiment.PerfCost-4939: Processed 2250 samples out of 10000, 0 errors
13:01:08,273 INFO Experiment.PerfCost-4939: Processed 2260 samples out of 10000, 0 errors
13:01:18,373 INFO Experiment.PerfCost-4939: Processed 2270 samples out of 10000, 0 errors
13:01:28,495 INFO Experiment.PerfCost-4939: Processed 2280 samples out of 10000, 0 errors
13:01:38,612 INFO Experiment.PerfCost-4939: Processed 2290 samples out of 10000, 0 errors
13:01:48,710 INFO Experiment.PerfCost-4939: Processed 2300 samples out of 10000, 0 errors
13:01:58,829 INFO Experiment.PerfCost-4939: Processed 2310 samples out of 10000, 0 errors
13:02:08,937 INFO Experiment.PerfCost-4939: Processed 2320 samples out of 10000, 0 errors
13:02:19,30 INFO Experiment.PerfCost-4939: Processed 2330 samples out of 10000, 0 errors
13:02:29,144 INFO Experiment.PerfCost-4939: Processed 2340 samples out of 10000, 0 errors
13:02:39,254 INFO Experiment.PerfCost-4939: Processed 2350 samples out of 10000, 0 errors
13:02:49,350 INFO Experiment.PerfCost-4939: Processed 2360 samples out of 10000, 0 errors
13:02:59,455 INFO Experiment.PerfCost-4939: Processed 2370 samples out of 10000, 0 errors
13:03:09,557 INFO Experiment.PerfCost-4939: Processed 2380 samples out of 10000, 0 errors
13:03:19,660 INFO Experiment.PerfCost-4939: Processed 2390 samples out of 10000, 0 errors
13:03:29,812 INFO Experiment.PerfCost-4939: Processed 2400 samples out of 10000, 0 errors
13:03:39,913 INFO Experiment.PerfCost-4939: Processed 2410 samples out of 10000, 0 errors
13:03:50,17 INFO Experiment.PerfCost-4939: Processed 2420 samples out of 10000, 0 errors
13:04:00,136 INFO Experiment.PerfCost-4939: Processed 2430 samples out of 10000, 0 errors
13:04:10,247 INFO Experiment.PerfCost-4939: Processed 2440 samples out of 10000, 0 errors
13:04:20,344 INFO Experiment.PerfCost-4939: Processed 2450 samples out of 10000, 0 errors
13:04:30,446 INFO Experiment.PerfCost-4939: Processed 2460 samples out of 10000, 0 errors
13:04:40,567 INFO Experiment.PerfCost-4939: Processed 2470 samples out of 10000, 0 errors
13:04:50,671 INFO Experiment.PerfCost-4939: Processed 2480 samples out of 10000, 0 errors
13:05:00,784 INFO Experiment.PerfCost-4939: Processed 2490 samples out of 10000, 0 errors
13:05:10,895 INFO Experiment.PerfCost-4939: Processed 2500 samples out of 10000, 0 errors
13:05:21,11 INFO Experiment.PerfCost-4939: Processed 2510 samples out of 10000, 0 errors
13:05:31,124 INFO Experiment.PerfCost-4939: Processed 2520 samples out of 10000, 0 errors
13:05:41,221 INFO Experiment.PerfCost-4939: Processed 2530 samples out of 10000, 0 errors
13:05:51,327 INFO Experiment.PerfCost-4939: Processed 2540 samples out of 10000, 0 errors
13:06:01,465 INFO Experiment.PerfCost-4939: Processed 2550 samples out of 10000, 0 errors
13:06:11,567 INFO Experiment.PerfCost-4939: Processed 2560 samples out of 10000, 0 errors
13:06:21,677 INFO Experiment.PerfCost-4939: Processed 2570 samples out of 10000, 0 errors
13:06:31,782 INFO Experiment.PerfCost-4939: Processed 2580 samples out of 10000, 0 errors
13:06:41,886 INFO Experiment.PerfCost-4939: Processed 2590 samples out of 10000, 0 errors
13:06:51,985 INFO Experiment.PerfCost-4939: Processed 2600 samples out of 10000, 0 errors
13:07:02,101 INFO Experiment.PerfCost-4939: Processed 2610 samples out of 10000, 0 errors
13:07:12,230 INFO Experiment.PerfCost-4939: Processed 2620 samples out of 10000, 0 errors
13:07:22,341 INFO Experiment.PerfCost-4939: Processed 2630 samples out of 10000, 0 errors
13:07:32,445 INFO Experiment.PerfCost-4939: Processed 2640 samples out of 10000, 0 errors
13:07:42,538 INFO Experiment.PerfCost-4939: Processed 2650 samples out of 10000, 0 errors
13:07:52,673 INFO Experiment.PerfCost-4939: Processed 2660 samples out of 10000, 0 errors
13:08:02,802 INFO Experiment.PerfCost-4939: Processed 2670 samples out of 10000, 0 errors
13:08:12,970 INFO Experiment.PerfCost-4939: Processed 2680 samples out of 10000, 0 errors
13:08:23,114 INFO Experiment.PerfCost-4939: Processed 2690 samples out of 10000, 0 errors
13:08:33,283 INFO Experiment.PerfCost-4939: Processed 2700 samples out of 10000, 0 errors
13:08:43,394 INFO Experiment.PerfCost-4939: Processed 2710 samples out of 10000, 0 errors
13:08:53,533 INFO Experiment.PerfCost-4939: Processed 2720 samples out of 10000, 0 errors
13:09:03,663 INFO Experiment.PerfCost-4939: Processed 2730 samples out of 10000, 0 errors
13:09:13,796 INFO Experiment.PerfCost-4939: Processed 2740 samples out of 10000, 0 errors
13:09:23,906 INFO Experiment.PerfCost-4939: Processed 2750 samples out of 10000, 0 errors
13:09:34,24 INFO Experiment.PerfCost-4939: Processed 2760 samples out of 10000, 0 errors
13:09:44,172 INFO Experiment.PerfCost-4939: Processed 2770 samples out of 10000, 0 errors
13:09:54,317 INFO Experiment.PerfCost-4939: Processed 2780 samples out of 10000, 0 errors
13:10:04,452 INFO Experiment.PerfCost-4939: Processed 2790 samples out of 10000, 0 errors
13:10:14,585 INFO Experiment.PerfCost-4939: Processed 2800 samples out of 10000, 0 errors
13:10:24,728 INFO Experiment.PerfCost-4939: Processed 2810 samples out of 10000, 0 errors
