21:57:20,504 INFO SeBS-452e: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/210.thumbnailer
21:57:20,844 INFO OpenWhisk.Resources-ff0d: Using user-provided configuration of storage for OpenWhisk.
21:57:20,844 INFO OpenWhisk-fbcc: Using existing resource name: 91d37410.
21:57:20,933 INFO Benchmark-49a8: Building benchmark 210.thumbnailer. Reason: no cached code package.
22:02:29,28 INFO Experiment.PerfCost-0454: Processed 280 samples out of 10000, 0 errors
22:02:39,374 INFO Experiment.PerfCost-0454: Processed 290 samples out of 10000, 0 errors
22:02:49,751 INFO Experiment.PerfCost-0454: Processed 300 samples out of 10000, 0 errors
22:03:00,146 INFO Experiment.PerfCost-0454: Processed 310 samples out of 10000, 0 errors
22:03:10,537 INFO Experiment.PerfCost-0454: Processed 320 samples out of 10000, 0 errors
22:03:20,921 INFO Experiment.PerfCost-0454: Processed 330 samples out of 10000, 0 errors
22:03:31,302 INFO Experiment.PerfCost-0454: Processed 340 samples out of 10000, 0 errors
22:03:41,687 INFO Experiment.PerfCost-0454: Processed 350 samples out of 10000, 0 errors
22:03:52,53 INFO Experiment.PerfCost-0454: Processed 360 samples out of 10000, 0 errors
22:04:02,435 INFO Experiment.PerfCost-0454: Processed 370 samples out of 10000, 0 errors
22:04:12,809 INFO Experiment.PerfCost-0454: Processed 380 samples out of 10000, 0 errors
22:04:23,170 INFO Experiment.PerfCost-0454: Processed 390 samples out of 10000, 0 errors
22:04:33,516 INFO Experiment.PerfCost-0454: Processed 400 samples out of 10000, 0 errors
22:04:43,888 INFO Experiment.PerfCost-0454: Processed 410 samples out of 10000, 0 errors
22:04:54,248 INFO Experiment.PerfCost-0454: Processed 420 samples out of 10000, 0 errors
22:05:04,590 INFO Experiment.PerfCost-0454: Processed 430 samples out of 10000, 0 errors
22:05:14,930 INFO Experiment.PerfCost-0454: Processed 440 samples out of 10000, 0 errors
22:05:25,305 INFO Experiment.PerfCost-0454: Processed 450 samples out of 10000, 0 errors
22:05:35,649 INFO Experiment.PerfCost-0454: Processed 460 samples out of 10000, 0 errors
22:05:46,22 INFO Experiment.PerfCost-0454: Processed 470 samples out of 10000, 0 errors
22:05:56,382 INFO Experiment.PerfCost-0454: Processed 480 samples out of 10000, 0 errors
22:06:06,754 INFO Experiment.PerfCost-0454: Processed 490 samples out of 10000, 0 errors
22:06:17,126 INFO Experiment.PerfCost-0454: Processed 500 samples out of 10000, 0 errors
22:06:27,522 INFO Experiment.PerfCost-0454: Processed 510 samples out of 10000, 0 errors
22:06:37,860 INFO Experiment.PerfCost-0454: Processed 520 samples out of 10000, 0 errors
22:06:48,198 INFO Experiment.PerfCost-0454: Processed 530 samples out of 10000, 0 errors
22:06:58,533 INFO Experiment.PerfCost-0454: Processed 540 samples out of 10000, 0 errors
22:07:08,909 INFO Experiment.PerfCost-0454: Processed 550 samples out of 10000, 0 errors
22:07:19,275 INFO Experiment.PerfCost-0454: Processed 560 samples out of 10000, 0 errors
22:07:29,642 INFO Experiment.PerfCost-0454: Processed 570 samples out of 10000, 0 errors
22:07:40,12 INFO Experiment.PerfCost-0454: Processed 580 samples out of 10000, 0 errors
22:07:50,359 INFO Experiment.PerfCost-0454: Processed 590 samples out of 10000, 0 errors
22:08:00,723 INFO Experiment.PerfCost-0454: Processed 600 samples out of 10000, 0 errors
22:08:11,105 INFO Experiment.PerfCost-0454: Processed 610 samples out of 10000, 0 errors
22:08:21,469 INFO Experiment.PerfCost-0454: Processed 620 samples out of 10000, 0 errors
22:08:31,797 INFO Experiment.PerfCost-0454: Processed 630 samples out of 10000, 0 errors
22:08:42,169 INFO Experiment.PerfCost-0454: Processed 640 samples out of 10000, 0 errors
22:08:52,520 INFO Experiment.PerfCost-0454: Processed 650 samples out of 10000, 0 errors
22:09:02,872 INFO Experiment.PerfCost-0454: Processed 660 samples out of 10000, 0 errors
22:09:13,236 INFO Experiment.PerfCost-0454: Processed 670 samples out of 10000, 0 errors
22:09:23,593 INFO Experiment.PerfCost-0454: Processed 680 samples out of 10000, 0 errors
22:09:33,976 INFO Experiment.PerfCost-0454: Processed 690 samples out of 10000, 0 errors
22:09:44,331 INFO Experiment.PerfCost-0454: Processed 700 samples out of 10000, 0 errors
22:09:54,702 INFO Experiment.PerfCost-0454: Processed 710 samples out of 10000, 0 errors
22:10:05,47 INFO Experiment.PerfCost-0454: Processed 720 samples out of 10000, 0 errors
22:10:15,398 INFO Experiment.PerfCost-0454: Processed 730 samples out of 10000, 0 errors
22:10:25,787 INFO Experiment.PerfCost-0454: Processed 740 samples out of 10000, 0 errors
22:10:36,142 INFO Experiment.PerfCost-0454: Processed 750 samples out of 10000, 0 errors
22:10:46,506 INFO Experiment.PerfCost-0454: Processed 760 samples out of 10000, 0 errors
22:10:56,931 INFO Experiment.PerfCost-0454: Processed 770 samples out of 10000, 0 errors
22:11:07,321 INFO Experiment.PerfCost-0454: Processed 780 samples out of 10000, 0 errors
22:11:17,699 INFO Experiment.PerfCost-0454: Processed 790 samples out of 10000, 0 errors
22:11:28,90 INFO Experiment.PerfCost-0454: Processed 800 samples out of 10000, 0 errors
22:11:38,446 INFO Experiment.PerfCost-0454: Processed 810 samples out of 10000, 0 errors
22:11:48,783 INFO Experiment.PerfCost-0454: Processed 820 samples out of 10000, 0 errors
22:11:59,148 INFO Experiment.PerfCost-0454: Processed 830 samples out of 10000, 0 errors
22:12:09,506 INFO Experiment.PerfCost-0454: Processed 840 samples out of 10000, 0 errors
22:12:19,848 INFO Experiment.PerfCost-0454: Processed 850 samples out of 10000, 0 errors
22:12:30,176 INFO Experiment.PerfCost-0454: Processed 860 samples out of 10000, 0 errors
22:12:40,556 INFO Experiment.PerfCost-0454: Processed 870 samples out of 10000, 0 errors
22:12:50,900 INFO Experiment.PerfCost-0454: Processed 880 samples out of 10000, 0 errors
22:13:01,256 INFO Experiment.PerfCost-0454: Processed 890 samples out of 10000, 0 errors
22:13:11,615 INFO Experiment.PerfCost-0454: Processed 900 samples out of 10000, 0 errors
22:13:21,959 INFO Experiment.PerfCost-0454: Processed 910 samples out of 10000, 0 errors
22:13:32,308 INFO Experiment.PerfCost-0454: Processed 920 samples out of 10000, 0 errors
22:13:42,721 INFO Experiment.PerfCost-0454: Processed 930 samples out of 10000, 0 errors
22:13:53,65 INFO Experiment.PerfCost-0454: Processed 940 samples out of 10000, 0 errors
22:14:03,455 INFO Experiment.PerfCost-0454: Processed 950 samples out of 10000, 0 errors
22:14:13,782 INFO Experiment.PerfCost-0454: Processed 960 samples out of 10000, 0 errors
22:14:24,151 INFO Experiment.PerfCost-0454: Processed 970 samples out of 10000, 0 errors
22:14:34,507 INFO Experiment.PerfCost-0454: Processed 980 samples out of 10000, 0 errors
22:14:44,849 INFO Experiment.PerfCost-0454: Processed 990 samples out of 10000, 0 errors
22:14:55,194 INFO Experiment.PerfCost-0454: Processed 1000 samples out of 10000, 0 errors
22:15:05,546 INFO Experiment.PerfCost-0454: Processed 1010 samples out of 10000, 0 errors
22:15:15,897 INFO Experiment.PerfCost-0454: Processed 1020 samples out of 10000, 0 errors
22:15:26,224 INFO Experiment.PerfCost-0454: Processed 1030 samples out of 10000, 0 errors
22:15:36,584 INFO Experiment.PerfCost-0454: Processed 1040 samples out of 10000, 0 errors
22:15:46,966 INFO Experiment.PerfCost-0454: Processed 1050 samples out of 10000, 0 errors
22:15:57,373 INFO Experiment.PerfCost-0454: Processed 1060 samples out of 10000, 0 errors
22:16:07,735 INFO Experiment.PerfCost-0454: Processed 1070 samples out of 10000, 0 errors
22:16:18,130 INFO Experiment.PerfCost-0454: Processed 1080 samples out of 10000, 0 errors
22:16:28,534 INFO Experiment.PerfCost-0454: Processed 1090 samples out of 10000, 0 errors
22:16:38,910 INFO Experiment.PerfCost-0454: Processed 1100 samples out of 10000, 0 errors
22:16:49,294 INFO Experiment.PerfCost-0454: Processed 1110 samples out of 10000, 0 errors
22:16:59,661 INFO Experiment.PerfCost-0454: Processed 1120 samples out of 10000, 0 errors
22:17:10,51 INFO Experiment.PerfCost-0454: Processed 1130 samples out of 10000, 0 errors
22:17:20,403 INFO Experiment.PerfCost-0454: Processed 1140 samples out of 10000, 0 errors
22:17:30,759 INFO Experiment.PerfCost-0454: Processed 1150 samples out of 10000, 0 errors
22:17:41,118 INFO Experiment.PerfCost-0454: Processed 1160 samples out of 10000, 0 errors
22:17:51,472 INFO Experiment.PerfCost-0454: Processed 1170 samples out of 10000, 0 errors
22:18:01,846 INFO Experiment.PerfCost-0454: Processed 1180 samples out of 10000, 0 errors
22:18:12,190 INFO Experiment.PerfCost-0454: Processed 1190 samples out of 10000, 0 errors
22:18:22,548 INFO Experiment.PerfCost-0454: Processed 1200 samples out of 10000, 0 errors
22:18:32,898 INFO Experiment.PerfCost-0454: Processed 1210 samples out of 10000, 0 errors
22:18:43,287 INFO Experiment.PerfCost-0454: Processed 1220 samples out of 10000, 0 errors
22:18:53,646 INFO Experiment.PerfCost-0454: Processed 1230 samples out of 10000, 0 errors
22:19:03,993 INFO Experiment.PerfCost-0454: Processed 1240 samples out of 10000, 0 errors
22:19:14,321 INFO Experiment.PerfCost-0454: Processed 1250 samples out of 10000, 0 errors
22:19:24,711 INFO Experiment.PerfCost-0454: Processed 1260 samples out of 10000, 0 errors
22:19:35,58 INFO Experiment.PerfCost-0454: Processed 1270 samples out of 10000, 0 errors
22:19:45,407 INFO Experiment.PerfCost-0454: Processed 1280 samples out of 10000, 0 errors
22:19:55,770 INFO Experiment.PerfCost-0454: Processed 1290 samples out of 10000, 0 errors
22:20:06,141 INFO Experiment.PerfCost-0454: Processed 1300 samples out of 10000, 0 errors
22:20:16,511 INFO Experiment.PerfCost-0454: Processed 1310 samples out of 10000, 0 errors
22:20:26,911 INFO Experiment.PerfCost-0454: Processed 1320 samples out of 10000, 0 errors
22:20:37,264 INFO Experiment.PerfCost-0454: Processed 1330 samples out of 10000, 0 errors
22:20:47,609 INFO Experiment.PerfCost-0454: Processed 1340 samples out of 10000, 0 errors
22:20:57,948 INFO Experiment.PerfCost-0454: Processed 1350 samples out of 10000, 0 errors
22:21:08,313 INFO Experiment.PerfCost-0454: Processed 1360 samples out of 10000, 0 errors
22:21:18,662 INFO Experiment.PerfCost-0454: Processed 1370 samples out of 10000, 0 errors
22:21:29,44 INFO Experiment.PerfCost-0454: Processed 1380 samples out of 10000, 0 errors
22:21:39,422 INFO Experiment.PerfCost-0454: Processed 1390 samples out of 10000, 0 errors
22:21:49,792 INFO Experiment.PerfCost-0454: Processed 1400 samples out of 10000, 0 errors
22:22:00,151 INFO Experiment.PerfCost-0454: Processed 1410 samples out of 10000, 0 errors
22:22:10,501 INFO Experiment.PerfCost-0454: Processed 1420 samples out of 10000, 0 errors
22:22:20,851 INFO Experiment.PerfCost-0454: Processed 1430 samples out of 10000, 0 errors
22:22:31,212 INFO Experiment.PerfCost-0454: Processed 1440 samples out of 10000, 0 errors
22:22:41,555 INFO Experiment.PerfCost-0454: Processed 1450 samples out of 10000, 0 errors
22:22:51,903 INFO Experiment.PerfCost-0454: Processed 1460 samples out of 10000, 0 errors
22:23:02,247 INFO Experiment.PerfCost-0454: Processed 1470 samples out of 10000, 0 errors
22:23:12,618 INFO Experiment.PerfCost-0454: Processed 1480 samples out of 10000, 0 errors
22:23:22,967 INFO Experiment.PerfCost-0454: Processed 1490 samples out of 10000, 0 errors
22:23:33,333 INFO Experiment.PerfCost-0454: Processed 1500 samples out of 10000, 0 errors
22:23:43,712 INFO Experiment.PerfCost-0454: Processed 1510 samples out of 10000, 0 errors
22:23:54,98 INFO Experiment.PerfCost-0454: Processed 1520 samples out of 10000, 0 errors
22:24:04,445 INFO Experiment.PerfCost-0454: Processed 1530 samples out of 10000, 0 errors
22:24:14,805 INFO Experiment.PerfCost-0454: Processed 1540 samples out of 10000, 0 errors
22:24:25,162 INFO Experiment.PerfCost-0454: Processed 1550 samples out of 10000, 0 errors
22:24:35,527 INFO Experiment.PerfCost-0454: Processed 1560 samples out of 10000, 0 errors
22:24:45,855 INFO Experiment.PerfCost-0454: Processed 1570 samples out of 10000, 0 errors
22:24:56,192 INFO Experiment.PerfCost-0454: Processed 1580 samples out of 10000, 0 errors
22:25:06,551 INFO Experiment.PerfCost-0454: Processed 1590 samples out of 10000, 0 errors
22:25:16,942 INFO Experiment.PerfCost-0454: Processed 1600 samples out of 10000, 0 errors
22:25:27,289 INFO Experiment.PerfCost-0454: Processed 1610 samples out of 10000, 0 errors
22:25:37,649 INFO Experiment.PerfCost-0454: Processed 1620 samples out of 10000, 0 errors
22:25:47,989 INFO Experiment.PerfCost-0454: Processed 1630 samples out of 10000, 0 errors
22:25:58,381 INFO Experiment.PerfCost-0454: Processed 1640 samples out of 10000, 0 errors
22:26:08,745 INFO Experiment.PerfCost-0454: Processed 1650 samples out of 10000, 0 errors
22:26:19,93 INFO Experiment.PerfCost-0454: Processed 1660 samples out of 10000, 0 errors
22:26:29,447 INFO Experiment.PerfCost-0454: Processed 1670 samples out of 10000, 0 errors
22:26:39,789 INFO Experiment.PerfCost-0454: Processed 1680 samples out of 10000, 0 errors
22:26:50,153 INFO Experiment.PerfCost-0454: Processed 1690 samples out of 10000, 0 errors
22:27:00,512 INFO Experiment.PerfCost-0454: Processed 1700 samples out of 10000, 0 errors
22:27:10,876 INFO Experiment.PerfCost-0454: Processed 1710 samples out of 10000, 0 errors
22:27:21,224 INFO Experiment.PerfCost-0454: Processed 1720 samples out of 10000, 0 errors
22:27:31,574 INFO Experiment.PerfCost-0454: Processed 1730 samples out of 10000, 0 errors
22:27:41,926 INFO Experiment.PerfCost-0454: Processed 1740 samples out of 10000, 0 errors
22:27:52,275 INFO Experiment.PerfCost-0454: Processed 1750 samples out of 10000, 0 errors
22:28:02,622 INFO Experiment.PerfCost-0454: Processed 1760 samples out of 10000, 0 errors
22:28:12,978 INFO Experiment.PerfCost-0454: Processed 1770 samples out of 10000, 0 errors
22:28:23,312 INFO Experiment.PerfCost-0454: Processed 1780 samples out of 10000, 0 errors
22:28:33,662 INFO Experiment.PerfCost-0454: Processed 1790 samples out of 10000, 0 errors
22:28:44,54 INFO Experiment.PerfCost-0454: Processed 1800 samples out of 10000, 0 errors
22:28:54,421 INFO Experiment.PerfCost-0454: Processed 1810 samples out of 10000, 0 errors
22:29:04,778 INFO Experiment.PerfCost-0454: Processed 1820 samples out of 10000, 0 errors
22:29:15,156 INFO Experiment.PerfCost-0454: Processed 1830 samples out of 10000, 0 errors
22:29:25,530 INFO Experiment.PerfCost-0454: Processed 1840 samples out of 10000, 0 errors
22:29:35,885 INFO Experiment.PerfCost-0454: Processed 1850 samples out of 10000, 0 errors
22:29:46,249 INFO Experiment.PerfCost-0454: Processed 1860 samples out of 10000, 0 errors
22:29:56,626 INFO Experiment.PerfCost-0454: Processed 1870 samples out of 10000, 0 errors
22:30:06,992 INFO Experiment.PerfCost-0454: Processed 1880 samples out of 10000, 0 errors
22:30:17,361 INFO Experiment.PerfCost-0454: Processed 1890 samples out of 10000, 0 errors
22:30:27,735 INFO Experiment.PerfCost-0454: Processed 1900 samples out of 10000, 0 errors
22:30:38,112 INFO Experiment.PerfCost-0454: Processed 1910 samples out of 10000, 0 errors
22:30:48,490 INFO Experiment.PerfCost-0454: Processed 1920 samples out of 10000, 0 errors
22:30:58,835 INFO Experiment.PerfCost-0454: Processed 1930 samples out of 10000, 0 errors
22:31:09,193 INFO Experiment.PerfCost-0454: Processed 1940 samples out of 10000, 0 errors
22:31:19,557 INFO Experiment.PerfCost-0454: Processed 1950 samples out of 10000, 0 errors
22:31:29,898 INFO Experiment.PerfCost-0454: Processed 1960 samples out of 10000, 0 errors
22:31:40,264 INFO Experiment.PerfCost-0454: Processed 1970 samples out of 10000, 0 errors
22:31:50,614 INFO Experiment.PerfCost-0454: Processed 1980 samples out of 10000, 0 errors
22:32:00,977 INFO Experiment.PerfCost-0454: Processed 1990 samples out of 10000, 0 errors
22:32:11,342 INFO Experiment.PerfCost-0454: Processed 2000 samples out of 10000, 0 errors
22:32:21,679 INFO Experiment.PerfCost-0454: Processed 2010 samples out of 10000, 0 errors
22:32:32,18 INFO Experiment.PerfCost-0454: Processed 2020 samples out of 10000, 0 errors
22:32:42,383 INFO Experiment.PerfCost-0454: Processed 2030 samples out of 10000, 0 errors
22:32:52,729 INFO Experiment.PerfCost-0454: Processed 2040 samples out of 10000, 0 errors
22:33:03,64 INFO Experiment.PerfCost-0454: Processed 2050 samples out of 10000, 0 errors
22:33:13,386 INFO Experiment.PerfCost-0454: Processed 2060 samples out of 10000, 0 errors
22:33:23,750 INFO Experiment.PerfCost-0454: Processed 2070 samples out of 10000, 0 errors
22:33:34,91 INFO Experiment.PerfCost-0454: Processed 2080 samples out of 10000, 0 errors
22:33:44,450 INFO Experiment.PerfCost-0454: Processed 2090 samples out of 10000, 0 errors
22:33:54,785 INFO Experiment.PerfCost-0454: Processed 2100 samples out of 10000, 0 errors
22:34:05,144 INFO Experiment.PerfCost-0454: Processed 2110 samples out of 10000, 0 errors
22:34:15,500 INFO Experiment.PerfCost-0454: Processed 2120 samples out of 10000, 0 errors
22:34:25,847 INFO Experiment.PerfCost-0454: Processed 2130 samples out of 10000, 0 errors
22:34:36,201 INFO Experiment.PerfCost-0454: Processed 2140 samples out of 10000, 0 errors
22:34:46,544 INFO Experiment.PerfCost-0454: Processed 2150 samples out of 10000, 0 errors
22:34:56,911 INFO Experiment.PerfCost-0454: Processed 2160 samples out of 10000, 0 errors
22:35:07,279 INFO Experiment.PerfCost-0454: Processed 2170 samples out of 10000, 0 errors
22:35:17,617 INFO Experiment.PerfCost-0454: Processed 2180 samples out of 10000, 0 errors
22:35:27,980 INFO Experiment.PerfCost-0454: Processed 2190 samples out of 10000, 0 errors
22:35:38,354 INFO Experiment.PerfCost-0454: Processed 2200 samples out of 10000, 0 errors
22:35:48,724 INFO Experiment.PerfCost-0454: Processed 2210 samples out of 10000, 0 errors
22:35:59,88 INFO Experiment.PerfCost-0454: Processed 2220 samples out of 10000, 0 errors
22:36:09,455 INFO Experiment.PerfCost-0454: Processed 2230 samples out of 10000, 0 errors
22:36:19,839 INFO Experiment.PerfCost-0454: Processed 2240 samples out of 10000, 0 errors
22:36:30,194 INFO Experiment.PerfCost-0454: Processed 2250 samples out of 10000, 0 errors
22:36:40,541 INFO Experiment.PerfCost-0454: Processed 2260 samples out of 10000, 0 errors
22:36:50,908 INFO Experiment.PerfCost-0454: Processed 2270 samples out of 10000, 0 errors
22:37:01,277 INFO Experiment.PerfCost-0454: Processed 2280 samples out of 10000, 0 errors
22:37:11,621 INFO Experiment.PerfCost-0454: Processed 2290 samples out of 10000, 0 errors
22:37:21,965 INFO Experiment.PerfCost-0454: Processed 2300 samples out of 10000, 0 errors
22:37:32,294 INFO Experiment.PerfCost-0454: Processed 2310 samples out of 10000, 0 errors
22:37:42,626 INFO Experiment.PerfCost-0454: Processed 2320 samples out of 10000, 0 errors
22:37:52,985 INFO Experiment.PerfCost-0454: Processed 2330 samples out of 10000, 0 errors
22:38:03,353 INFO Experiment.PerfCost-0454: Processed 2340 samples out of 10000, 0 errors
22:38:13,715 INFO Experiment.PerfCost-0454: Processed 2350 samples out of 10000, 0 errors
22:38:24,73 INFO Experiment.PerfCost-0454: Processed 2360 samples out of 10000, 0 errors
22:38:34,397 INFO Experiment.PerfCost-0454: Processed 2370 samples out of 10000, 0 errors
22:38:44,799 INFO Experiment.PerfCost-0454: Processed 2380 samples out of 10000, 0 errors
22:38:55,178 INFO Experiment.PerfCost-0454: Processed 2390 samples out of 10000, 0 errors
22:39:05,491 INFO Experiment.PerfCost-0454: Processed 2400 samples out of 10000, 0 errors
22:39:15,859 INFO Experiment.PerfCost-0454: Processed 2410 samples out of 10000, 0 errors
22:39:26,256 INFO Experiment.PerfCost-0454: Processed 2420 samples out of 10000, 0 errors
22:39:36,591 INFO Experiment.PerfCost-0454: Processed 2430 samples out of 10000, 0 errors
22:39:46,999 INFO Experiment.PerfCost-0454: Processed 2440 samples out of 10000, 0 errors
22:39:57,350 INFO Experiment.PerfCost-0454: Processed 2450 samples out of 10000, 0 errors
22:40:07,673 INFO Experiment.PerfCost-0454: Processed 2460 samples out of 10000, 0 errors
22:40:18,53 INFO Experiment.PerfCost-0454: Processed 2470 samples out of 10000, 0 errors
22:40:28,392 INFO Experiment.PerfCost-0454: Processed 2480 samples out of 10000, 0 errors
22:40:38,725 INFO Experiment.PerfCost-0454: Processed 2490 samples out of 10000, 0 errors
22:40:49,75 INFO Experiment.PerfCost-0454: Processed 2500 samples out of 10000, 0 errors
22:40:59,438 INFO Experiment.PerfCost-0454: Processed 2510 samples out of 10000, 0 errors
22:41:09,811 INFO Experiment.PerfCost-0454: Processed 2520 samples out of 10000, 0 errors
22:41:20,168 INFO Experiment.PerfCost-0454: Processed 2530 samples out of 10000, 0 errors
22:41:30,521 INFO Experiment.PerfCost-0454: Processed 2540 samples out of 10000, 0 errors
22:41:40,886 INFO Experiment.PerfCost-0454: Processed 2550 samples out of 10000, 0 errors
22:41:51,217 INFO Experiment.PerfCost-0454: Processed 2560 samples out of 10000, 0 errors
22:42:01,599 INFO Experiment.PerfCost-0454: Processed 2570 samples out of 10000, 0 errors
22:42:11,979 INFO Experiment.PerfCost-0454: Processed 2580 samples out of 10000, 0 errors
22:42:22,326 INFO Experiment.PerfCost-0454: Processed 2590 samples out of 10000, 0 errors
22:42:32,679 INFO Experiment.PerfCost-0454: Processed 2600 samples out of 10000, 0 errors
22:42:43,41 INFO Experiment.PerfCost-0454: Processed 2610 samples out of 10000, 0 errors
22:42:53,404 INFO Experiment.PerfCost-0454: Processed 2620 samples out of 10000, 0 errors
22:43:03,771 INFO Experiment.PerfCost-0454: Processed 2630 samples out of 10000, 0 errors
22:43:14,121 INFO Experiment.PerfCost-0454: Processed 2640 samples out of 10000, 0 errors
22:43:24,476 INFO Experiment.PerfCost-0454: Processed 2650 samples out of 10000, 0 errors
22:43:34,818 INFO Experiment.PerfCost-0454: Processed 2660 samples out of 10000, 0 errors
22:43:45,174 INFO Experiment.PerfCost-0454: Processed 2670 samples out of 10000, 0 errors
22:43:55,544 INFO Experiment.PerfCost-0454: Processed 2680 samples out of 10000, 0 errors
22:44:05,909 INFO Experiment.PerfCost-0454: Processed 2690 samples out of 10000, 0 errors
22:44:16,271 INFO Experiment.PerfCost-0454: Processed 2700 samples out of 10000, 0 errors
22:44:26,632 INFO Experiment.PerfCost-0454: Processed 2710 samples out of 10000, 0 errors
22:44:36,979 INFO Experiment.PerfCost-0454: Processed 2720 samples out of 10000, 0 errors
22:44:47,332 INFO Experiment.PerfCost-0454: Processed 2730 samples out of 10000, 0 errors
22:44:57,681 INFO Experiment.PerfCost-0454: Processed 2740 samples out of 10000, 0 errors
22:45:08,35 INFO Experiment.PerfCost-0454: Processed 2750 samples out of 10000, 0 errors
22:45:18,362 INFO Experiment.PerfCost-0454: Processed 2760 samples out of 10000, 0 errors
22:45:28,696 INFO Experiment.PerfCost-0454: Processed 2770 samples out of 10000, 0 errors
22:45:39,64 INFO Experiment.PerfCost-0454: Processed 2780 samples out of 10000, 0 errors
22:45:49,465 INFO Experiment.PerfCost-0454: Processed 2790 samples out of 10000, 0 errors
22:45:59,817 INFO Experiment.PerfCost-0454: Processed 2800 samples out of 10000, 0 errors
