08:49:43,838 INFO SeBS-250d: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/310.compression
08:49:44,161 INFO OpenWhisk.Resources-688c: Using user-provided configuration of storage for OpenWhisk.
08:49:44,161 INFO OpenWhisk-9b91: Using existing resource name: fd5e1ae0.
08:49:44,271 INFO Benchmark-d0bb: Using cached benchmark 310.compression at /home/anou/msc-thesis/task-based-experiment/cache/310.compression/openwhisk/python/3.7/310.compression.zip
08:49:44,271 INFO OpenWhisk-9b91: Using cached function 310.compression-python-3.7 in /home/anou/msc-thesis/task-based-experiment/cache/310.compression/openwhisk/python/3.7/310.compression.zip
08:49:44,290 INFO OpenWhisk-9b91: Cached function 310.compression-python-3.7 is up to date.
08:49:44,755 INFO Experiment.PerfCost-8164: Begin experiment on memory size 256
08:49:44,756 INFO OpenWhisk-9b91: Update an existing OpenWhisk action 310.compression-python-3.7.
08:49:45,16 INFO Experiment.PerfCost-8164: Begin warm experiments
09:35:35,31 INFO Experiment.PerfCost-8164: Processed 2140 samples out of 10000, 0 errors
09:35:47,845 INFO Experiment.PerfCost-8164: Processed 2150 samples out of 10000, 0 errors
09:36:00,624 INFO Experiment.PerfCost-8164: Processed 2160 samples out of 10000, 0 errors
09:36:13,419 INFO Experiment.PerfCost-8164: Processed 2170 samples out of 10000, 0 errors
09:36:26,354 INFO Experiment.PerfCost-8164: Processed 2180 samples out of 10000, 0 errors
09:36:39,75 INFO Experiment.PerfCost-8164: Processed 2190 samples out of 10000, 0 errors
09:36:51,854 INFO Experiment.PerfCost-8164: Processed 2200 samples out of 10000, 0 errors
09:37:04,610 INFO Experiment.PerfCost-8164: Processed 2210 samples out of 10000, 0 errors
09:37:17,430 INFO Experiment.PerfCost-8164: Processed 2220 samples out of 10000, 0 errors
09:37:30,218 INFO Experiment.PerfCost-8164: Processed 2230 samples out of 10000, 0 errors
09:37:43,62 INFO Experiment.PerfCost-8164: Processed 2240 samples out of 10000, 0 errors
09:37:55,972 INFO Experiment.PerfCost-8164: Processed 2250 samples out of 10000, 0 errors
09:38:08,758 INFO Experiment.PerfCost-8164: Processed 2260 samples out of 10000, 0 errors
09:38:21,568 INFO Experiment.PerfCost-8164: Processed 2270 samples out of 10000, 0 errors
09:38:34,488 INFO Experiment.PerfCost-8164: Processed 2280 samples out of 10000, 0 errors
09:38:47,333 INFO Experiment.PerfCost-8164: Processed 2290 samples out of 10000, 0 errors
09:39:00,224 INFO Experiment.PerfCost-8164: Processed 2300 samples out of 10000, 0 errors
09:39:13,5 INFO Experiment.PerfCost-8164: Processed 2310 samples out of 10000, 0 errors
09:39:25,789 INFO Experiment.PerfCost-8164: Processed 2320 samples out of 10000, 0 errors
09:39:38,643 INFO Experiment.PerfCost-8164: Processed 2330 samples out of 10000, 0 errors
09:39:51,471 INFO Experiment.PerfCost-8164: Processed 2340 samples out of 10000, 0 errors
09:40:04,297 INFO Experiment.PerfCost-8164: Processed 2350 samples out of 10000, 0 errors
09:40:17,226 INFO Experiment.PerfCost-8164: Processed 2360 samples out of 10000, 0 errors
09:40:30,17 INFO Experiment.PerfCost-8164: Processed 2370 samples out of 10000, 0 errors
09:40:42,846 INFO Experiment.PerfCost-8164: Processed 2380 samples out of 10000, 0 errors
09:40:55,695 INFO Experiment.PerfCost-8164: Processed 2390 samples out of 10000, 0 errors
09:41:08,508 INFO Experiment.PerfCost-8164: Processed 2400 samples out of 10000, 0 errors
09:41:21,307 INFO Experiment.PerfCost-8164: Processed 2410 samples out of 10000, 0 errors
09:41:34,280 INFO Experiment.PerfCost-8164: Processed 2420 samples out of 10000, 0 errors
09:41:47,50 INFO Experiment.PerfCost-8164: Processed 2430 samples out of 10000, 0 errors
09:41:59,856 INFO Experiment.PerfCost-8164: Processed 2440 samples out of 10000, 0 errors
09:42:12,651 INFO Experiment.PerfCost-8164: Processed 2450 samples out of 10000, 0 errors
09:42:25,576 INFO Experiment.PerfCost-8164: Processed 2460 samples out of 10000, 0 errors
09:42:38,365 INFO Experiment.PerfCost-8164: Processed 2470 samples out of 10000, 0 errors
09:42:51,139 INFO Experiment.PerfCost-8164: Processed 2480 samples out of 10000, 0 errors
09:43:04,56 INFO Experiment.PerfCost-8164: Processed 2490 samples out of 10000, 0 errors
09:43:16,928 INFO Experiment.PerfCost-8164: Processed 2500 samples out of 10000, 0 errors
09:43:29,676 INFO Experiment.PerfCost-8164: Processed 2510 samples out of 10000, 0 errors
09:43:42,630 INFO Experiment.PerfCost-8164: Processed 2520 samples out of 10000, 0 errors
09:43:55,421 INFO Experiment.PerfCost-8164: Processed 2530 samples out of 10000, 0 errors
09:44:08,212 INFO Experiment.PerfCost-8164: Processed 2540 samples out of 10000, 0 errors
09:44:21,60 INFO Experiment.PerfCost-8164: Processed 2550 samples out of 10000, 0 errors
09:44:33,891 INFO Experiment.PerfCost-8164: Processed 2560 samples out of 10000, 0 errors
09:44:46,768 INFO Experiment.PerfCost-8164: Processed 2570 samples out of 10000, 0 errors
09:44:59,650 INFO Experiment.PerfCost-8164: Processed 2580 samples out of 10000, 0 errors
09:45:12,506 INFO Experiment.PerfCost-8164: Processed 2590 samples out of 10000, 0 errors
09:45:25,313 INFO Experiment.PerfCost-8164: Processed 2600 samples out of 10000, 0 errors
09:45:38,94 INFO Experiment.PerfCost-8164: Processed 2610 samples out of 10000, 0 errors
09:45:50,940 INFO Experiment.PerfCost-8164: Processed 2620 samples out of 10000, 0 errors
09:46:03,705 INFO Experiment.PerfCost-8164: Processed 2630 samples out of 10000, 0 errors
09:46:16,548 INFO Experiment.PerfCost-8164: Processed 2640 samples out of 10000, 0 errors
09:46:29,455 INFO Experiment.PerfCost-8164: Processed 2650 samples out of 10000, 0 errors
09:46:42,301 INFO Experiment.PerfCost-8164: Processed 2660 samples out of 10000, 0 errors
09:46:55,98 INFO Experiment.PerfCost-8164: Processed 2670 samples out of 10000, 0 errors
09:47:07,936 INFO Experiment.PerfCost-8164: Processed 2680 samples out of 10000, 0 errors
09:47:20,723 INFO Experiment.PerfCost-8164: Processed 2690 samples out of 10000, 0 errors
09:47:33,556 INFO Experiment.PerfCost-8164: Processed 2700 samples out of 10000, 0 errors
09:47:46,492 INFO Experiment.PerfCost-8164: Processed 2710 samples out of 10000, 0 errors
09:47:59,275 INFO Experiment.PerfCost-8164: Processed 2720 samples out of 10000, 0 errors
09:48:12,45 INFO Experiment.PerfCost-8164: Processed 2730 samples out of 10000, 0 errors
09:48:24,961 INFO Experiment.PerfCost-8164: Processed 2740 samples out of 10000, 0 errors
09:48:37,788 INFO Experiment.PerfCost-8164: Processed 2750 samples out of 10000, 0 errors
09:48:50,702 INFO Experiment.PerfCost-8164: Processed 2760 samples out of 10000, 0 errors
09:49:03,486 INFO Experiment.PerfCost-8164: Processed 2770 samples out of 10000, 0 errors
09:49:16,311 INFO Experiment.PerfCost-8164: Processed 2780 samples out of 10000, 0 errors
09:49:29,247 INFO Experiment.PerfCost-8164: Processed 2790 samples out of 10000, 0 errors
09:49:42,85 INFO Experiment.PerfCost-8164: Processed 2800 samples out of 10000, 0 errors
09:49:54,801 INFO Experiment.PerfCost-8164: Processed 2810 samples out of 10000, 0 errors
09:50:07,702 INFO Experiment.PerfCost-8164: Processed 2820 samples out of 10000, 0 errors
09:50:20,431 INFO Experiment.PerfCost-8164: Processed 2830 samples out of 10000, 0 errors
